dvit_id,grin_acc,grin_name,taxonomy,origin,passQC,vivc_match,match_score,match_via
PI_597274,PI 597274,BR 10,Vitis hybr.,"Maryland, United States",True,POELOESKE MUSKOTALY,88.88888888888889,synonym (R 10)
PI_597306,PI 597306,B4-1315 (Minn 78 4x-tetraploid),Vitis hybr.,United States,True,,0.0,
DVIT_1025,DVIT 1025,ALICANTE BRANCA,Vitis vinifera L. subsp. vinifera ,nan,True,GARNACHA BLANCA,93.33333333333333,synonym (ALICANTE BLANCA)
DVIT_1121,DVIT 1121,Refosco,Vitis vinifera L. subsp. vinifera ,"California, United States",True,TERRANO,100.0,synonym (REFOSCO)
DVIT_1427,DVIT 1427,Olmo 5122,Vitis sp.,"Mississippi, United States",True,,0.0,
DVIT_1564,DVIT 1564,Olmo d32 (d2-83),Vitis hybr.,"California, United States",True,,0.0,
DVIT_1655,DVIT 1655,Fuji,Vitis vinifera L. subsp. vinifera ,"Illinois, United States",True,,0.0,
DVIT_1667,DVIT 1667,Russian Seedless 4X,Vitis vinifera L. subsp. vinifera ,"Illinois, United States",True,BLACK MONUKKA,91.42857142857143,synonym (RUSSIAN SEEDLESS)
DVIT_1716,DVIT 1716,Olmo (U69-11),Vitis tiliifolia Humb. &amp; Bonpl. ex Willd. ,Brazil,True,,0.0,
DVIT_1796,DVIT 1796,Olmo 030-33,Vitis vinifera L. subsp. vinifera ,Afghanistan,True,,0.0,
DVIT_1798,DVIT 1798,Olmo 030-44,Vitis vinifera L. subsp. vinifera ,Afghanistan,True,,0.0,
DVIT_1799,DVIT 1799,Olmo 030-51,Vitis vinifera L. subsp. vinifera ,Afghanistan,True,,0.0,
DVIT_2092,DVIT 2092,(Barrett 50),Vitis riparia Michx. ,"California, United States",True,,0.0,
DVIT_2145,DVIT 2145,Perbos 139,Vitis hybr.,"Pennsylvania, United States",True,PERBOS 137,90.0,prime name
DVIT_2344,DVIT 2344,YUGOSLAVIA 360,Vitis vinifera L. subsp. vinifera ,Former Serbia and Montenegro,True,,0.0,
DVIT_2525,DVIT 2525,KR-GBO (4X),Vitis hybr.,"California, United States",True,,0.0,
DVIT_2592,DVIT 2592,FLA CD10-46,Vitis hybr.,"Florida, United States",True,,0.0,
DVIT_2665,DVIT 2665,Aris (SB 1 2-19-58),Vitis hybr.,"British Columbia, Canada",True,,0.0,
DVIT_2686,DVIT 2686,Siewiernyi,Vitis hybr.,"British Columbia, Canada",True,,0.0,
DVIT_2731,DVIT 2731,Yugoslavia 2798,Vitis vinifera L. subsp. vinifera ,Former Serbia and Montenegro,True,,0.0,
DVIT_2808,DVIT 2808,Olmo j16-24,Vitis hybr.,"California, United States",True,,0.0,
DVIT_3239,DVIT 3239,Zehnder Z 92-8-4,Vitis hybr.,"South Carolina, United States",True,,0.0,
DVIT_3549,DVIT 3549,Zinfandel Heritage Sel. # 76,Vitis vinifera L. ,nan,True,,0.0,
DVIT_3713,DVIT 3713,MoArk 7,Vitis hybr.,"California, United States",True,,0.0,
DVIT_378,DVIT 378,CHASSELAS TOMPA,Vitis vinifera L. subsp. vinifera ,Hungary,True,ANGELO PIROVANO,82.75862068965517,synonym (CHASSELAS NOVA)
DVIT_405,DVIT 405,FERRAL DE IZALVA,Vitis vinifera L. subsp. vinifera ,Portugal,True,ZALA GYOENGYE,75.86206896551724,synonym (PERLA DE ZALA)
DVIT_425,DVIT 425,Johanna Mathiasz,Vitis vinifera L. subsp. vinifera ,"Wien, Austria",True,MATHIASZ JANOSNE,83.33333333333334,synonym (FRAU JOHANN MATHIASZ)
DVIT_663,DVIT 663,Blue Trollinger,Vitis vinifera L. subsp. vinifera ,Germany,True,SCHIAVA GROSSA,93.75,synonym (BLAUER TROLLINGER)
DVIT_684,DVIT 684,Catarratto,Vitis vinifera L. subsp. vinifera ,"California, United States",True,CATARRATTONE,90.9090909090909,prime name
DVIT_710,DVIT 710,Peloursin,Vitis vinifera L. subsp. vinifera ,France,True,PELOURSIN NOIR,100.0,synonym (PELOURSIN)
DVIT_711,DVIT 711,Early Red Malvasia,Vitis vinifera L. subsp. vinifera ,Germany,True,LUGLIENGA BIANCA,84.21052631578947,synonym (EARLY WHITE MALVASIA)
DVIT_733,DVIT 733,Pinot,Vitis vinifera L. subsp. vinifera ,"California, United States",True,PINOT NOIR,100.0,synonym (PINOT)
