GRIN_accessionID,GRIN_ACCESSION,GRIN_PLANT_NAME,GRIN_TAXONOMY,GRIN_GENEBANK,GRIN_ORIGIN,GRIN_DbID,passQC,missingness_rate,Vv_ancestry_pct,NA1_ancestry_pct,NA2_ancestry_pct,Mus_ancestry_pct,EA_ancestry_pct,vivc_prime_name,vivc_number,vivc_country_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,vivc_pedigree_confirmed,match_methods,n_confirming_methods,origin_crossval,species_crossval,ambiguous_flag
PI_597271,PI 597271,Ulster,Vitis hybr.,GEN,"New York, United States",1011106.0,True,0.12,22.6,50.1,27.3,0.0,0.0,ULSTER,12770,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,CATAWBA,AESTIVALIS,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597305,PI 597305,Accord,Vitis hybr.,GEN,United States,1481898.0,True,0.27,0.0,54.3,0.0,0.0,45.7,ACCORD,27169,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,VITIS AMURENSIS RUPRECHT,?,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597099,PI 597099,Telegraph,Vitis hybr.,GEN,"Pennsylvania, United States",1002300.0,True,0.14,21.8,17.4,60.8,0.0,0.0,TELEGRAPH,12311,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,VITIS LABRUSCA LINNE,AESTIVALIS,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597098,PI 597098,Fredonia,Vitis hybr.,GEN,"New York, United States",1001820.0,True,0.15,23.6,0.2,76.1,0.0,0.1,FREDONIA,4233,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,CHAMPION,LUCILE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,True
PI_597095,PI 597095,Romulus,Vitis hybr.,GEN,"New York, United States",1001069.0,True,0.08,76.1,0.0,23.9,0.0,0.0,ROMULUS,10186,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ONTARIO,SULTANINA,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597094,PI 597094,Veeport,Vitis hybr.,GEN,"Ontario, Canada",1000889.0,True,0.11,43.8,11.7,44.5,0.0,0.0,VEEPORT,12925,CANADA,VITIS INTERSPECIFIC CROSSING,NOIR,WILDER,WINCHELL,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_594349,PI 594349,Alexander,Vitis hybr.,,"New York, United States",1481905.0,True,0.11,50.0,0.0,50.0,0.0,0.0,ALEXANDER,271,UNITED STATES OF AMERICA,,NOIR,VITIS LABRUSCA LINNE,?,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,,False
PI_594345,PI 594345,Stepnyak,Vitis hybr.,GEN,Germany,1013393.0,True,0.09,79.2,0.0,0.0,0.0,20.8,STEPNYAK,12006,RUSSIAN FEDERATION,VITIS INTERSPECIFIC CROSSING,BLANC,KAZACHKA 1,SIBIRKOVYI,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_594340,PI 594340,Seibel 14664,Vitis hybr.,GEN,France,1011121.0,True,0.08,69.9,22.4,7.0,0.0,0.7,SEIBEL 14664,11437,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,SEIBEL 5813,SEIBEL 12482,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_594337,PI 594337,Einset Seedless,Vitis hybr.,GEN,United States,1006582.0,True,0.15,58.5,0.3,41.2,0.0,0.0,EINSET SEEDLESS,3848,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROSE,FREDONIA,CANNER SEEDLESS,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
