child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
TRIUNFO,CASTELAO,Parent 1,SNP,SNP,231,85.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=85.3
TRIUNFO,MUSCAT HAMBURG,Parent 2,SNP,SNP,231,85.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=85.3
VERDIAL TINTO,MARUFO,Parent 1,SNP,SNP,231,64.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=64.1
VERDIAL TINTO,MALVASIA FINA,Parent 2,SNP,SNP,231,64.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=64.1
AGUA SANTA,CASTELAO,Parent 1,SNP,SNP,231,96.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=96.3
AGUA SANTA,CAMARATE TINTO,Parent 2,SNP,SNP,231,96.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=96.3
ALCOA,GRAND NOIR,Parent 1,SNP,SNP,231,87.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=87.9
ALCOA,CASTELAO,Parent 2,SNP,SNP,231,87.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=87.9
ALVARINHO LILAS,MONTUA,Parent 1,SNP,SNP,231,76,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76
ALVARINHO LILAS,UVA CAO,Parent 2,SNP,SNP,231,76,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76
BOAL ESPINHO,HEBIEN,Parent 1,SNP,SNP,231,86,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=86
BOAL ESPINHO,MALVASIA FINA,Parent 2,SNP,SNP,231,86,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=86
BOAL VENCEDOR,CAYETANA BLANCA,Parent 1,SNP,SNP,231,66.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.9
BOAL VENCEDOR,MALVASIA FINA,Parent 2,SNP,SNP,231,66.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.9
CAMARATE TINTO,CAYETANA BLANCA,Parent 1,SNP,SNP,231,79.2,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=79.2
CAMARATE TINTO,ALFROCHEIRO,Parent 2,SNP,SNP,231,79.2,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=79.2
CARREGA TINTO,HEBIEN,Parent 1,SNP,SNP,231,76.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76.9
CARREGA TINTO,ALFROCHEIRO,Parent 2,SNP,SNP,231,76.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76.9
CASCULHO,CAYETANA BLANCA,Parent 1,SNP,SNP,231,72.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=72.1
CASCULHO,ALFROCHEIRO,Parent 2,SNP,SNP,231,72.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=72.1
CASTELA,CAYETANA BLANCA,Parent 1,SNP,SNP,231,80.6,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=80.6
CASTELA,ALFROCHEIRO,Parent 2,SNP,SNP,231,80.6,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=80.6
CASTELAO,CAYETANA BLANCA,Parent 1,SNP,SNP,231,89.4,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=89.4
