child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
KUTUZOVSKII,DATTIER DE ST. VALLIER,Parent 2,SSR,SSR,24.0,54.6610230031443,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MERDZAVAN,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,44.6004876162281,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MERDZAVAN,KARMRAHYUT,Parent 2,SSR,SSR,24.0,44.6004876162281,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSCAT SPITAK AYGAVANI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,37.00794627446,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSCAT SPITAK AYGAVANI,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,37.00794627446,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSCAT VARDAGUYN AYGAVANI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,38.8584438589645,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSCAT VARDAGUYN AYGAVANI,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,38.8584438589645,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSKAT DESERTNYI,MADELEINE ANGEVINE,Parent 1,SSR,SSR,24.0,51.6721907888433,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSKAT DESERTNYI,MUSCAT OF ALEXANDRIA,Parent 2,SSR,SSR,24.0,51.6721907888433,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSKAT USBEKISTANSKII,KATTA KURGAN,Parent 1,SSR,SSR,24.0,58.7146160710433,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSKAT USBEKISTANSKII,MUSCAT OF ALEXANDRIA,Parent 2,SSR,SSR,24.0,58.7146160710433,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSKAT YEREVANYAN,SEYANETS S 484,Parent 1,SSR,SSR,24.0,39.6310899926518,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSKAT YEREVANYAN,RIZAMAT,Parent 2,SSR,SSR,24.0,39.6310899926518,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSHKETNYI,BEKALNY,Parent 1,SSR,SSR,24.0,39.2828737910141,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSHKETNYI,PLAVAIE,Parent 2,SSR,SSR,24.0,39.2828737910141,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
NERKARAT,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,48.2063876516323,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
NERKARAT,KARMRAHYUT,Parent 2,SSR,SSR,24.0,48.2063876516323,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
PARVANA,KATTA KURGAN,Parent 1,SSR,SSR,24.0,52.7366186917809,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
PARVANA,KISHMISH KHISHRAU,Parent 2,SSR,SSR,24.0,52.7366186917809,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
RIZAMAT,KATTA KURGAN,Parent 1,SSR,SSR,24.0,47.8162046781274,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
RIZAMAT,PARKENT,Parent 2,SSR,SSR,24.0,47.8162046781274,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
SPITAK LERNATU,MADELEINE ANGEVINE,Parent 1,SSR,SSR,24.0,43.3663507402323,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Identification of P1 and P2. Vitis amurensis was ruled out. | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
SPITAK LERNATU,SATENI BELYI,Parent 2,SSR,SSR,24.0,43.3663507402323,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Identification of P1 and P2. Vitis amurensis was ruled out. | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
TIGRANI,SAPERAVI,Parent 1,SSR,SSR,24.0,50.5955870342343,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
TIGRANI,ARENI SEV,Parent 2,SSR,SSR,24.0,50.5955870342343,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
USHAHAS NAZELI,TEBRIZI,Parent 1,SSR,SSR,24.0,40.7205784682495,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
USHAHAS NAZELI,ESKERI,Parent 2,SSR,SSR,24.0,40.7205784682495,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
VAGPATI,ARARATI,Parent 1,SSR,SSR,24.0,36.5844901730557,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
VAGPATI,KARMIR KAKHANI,Parent 2,SSR,SSR,24.0,36.5844901730557,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
ZVARTNOTS,KARMIR KAKHANI,Parent 1,SSR,SSR,24.0,38.2055878448869,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
ZVARTNOTS,ARARATI,Parent 2,SSR,SSR,24.0,38.2055878448869,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
AIGENI SEV,ARAKSENI CHERNYI,Parent 1,SSR,SSR,24.0,36.0903640531395,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AIGENI SEV,ARARATI,Parent 2,SSR,SSR,24.0,36.0903640531395,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
