vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
SULTANA MOSCATA,12050,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,MUSCAT OF ALEXANDRIA,SULTANINA,True,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,8,,,,,,,,,,,,,,False,,False,
TEROLDEGO,12371,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,True,8,,,,,,,,,,,Teroldego,DVIT_8175,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
UVA DI TROIA,12819,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,BOMBINO BIANCO,QUAGLIANO,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,8,,,,,,,,,,,,,,True,TROJA,True,
VIOGNIER,13106,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,True,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Viognier,DVIT_8194,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
VITAL,13122,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,MALVASIA FINA,RABO DE OVELHA,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Vital,DVIT_1077,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
XARELLO,13270,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,HEBEN,BRUSTIANO FAUX,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Xarello,DVIT_8196,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
ATHENS,741,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,HUBBARD SEEDLESS,PORTLAND,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,7,,,,,,,,,,,Athens,PI_588158,M1_exact|M3_umlaut|M4_hybrid_spacing,True,ATHENS C,True,
AUTUMN BLACK,14166,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CALMERIA,BLACK ROSE,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,7,,,,,,,,,,,Autumn Black,DVIT_8010,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
BEAUTY SEEDLESS,1065,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,KOENIGIN DER WEINGAERTEN,KISHMISH CHERNYI,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,7,,,,,,,,,,,Beauty Seedless,DVIT_8015,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
BICANE,1341,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,False,True,False,True,True,True,False,False,False,False,True,False,False,7,,,,,,,,,,,,,,True,CHASSELAS NAPOLEON; CHASSELAS NAPOLEON,True,
BOUSCHET PETIT,1619,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,TEINTURIER,ARAMON NOIR,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,7,,,,,PETIT BOUSCHET,,PETIT BOUSCHET,PETIT BOUSCHET,,,,,,True,PETIT BOUSCHET; PETITE BOUSCHET,True,
CALZIN,2013,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,PRIMITIVO,MONDEUSE NOIRE,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,7,,,,,,,,,,,Calzin,DVIT_678,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
